case_key,case_id,case_name,guide_id,guide_title,snapshots_count,first_seen_snapshot_timestamp,last_seen_snapshot_timestamp,citation_variants_count
apps:75947/11,75947/11,Davydov and Others v. Russia,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:48621/07,48621/07,Dicle and Sadak v. Turkey,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:59573/10|65211/09,59573/10|65211/09,Dimitras and Others v. Greece (dec.),0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:30158/06,30158/06,Doyle v. the United Kingdom (dec.),0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:566/10,566/10,Dunn and Others v. the United Kingdom (dec.),0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:77032/12,77032/12,Dupré v. France (dec.),0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:30386/05,30386/05,Ekoglasnost v. Bulgaria,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:35579/03,35579/03,Etxeberria and Others v. Spain,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:56618/00,56618/00,Federación nacionalista Canaria v. Spain (dec.),0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:75147/17,75147/17,Forcadell i Lluis and Others v. Spain (dec.),0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:20201/04,20201/04,Frodl v. Austria,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:58302/10,58302/10,G.K. v. Belgium,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:36503/11,36503/11,Gahramanli and Others v. Azerbaijan,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:63772/16,63772/16,Galan v. Italy (dec.),0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:9103/04,9103/04,Georgian Labour Party v. Georgia,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:11721/04,11721/04,Geraguyn Khorhurd Patgamavorakan Akumb v. Armenia (dec.),0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
name:gitonas and others v greece::1997,,Gitonas and Others v. Greece,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
apps:44131/18,44131/18,Golikov and Others v. Russia [Committee],0bd62693ae9f,Article 3 Protocol 1,1,20251220163343,20251220163343,1
apps:60041/08|60054/08,60041/08|60054/08,Greens and M.T. v. the United Kingdom,0bd62693ae9f,Article 3 Protocol 1,5,20230923144330,20251220163343,1
